xxx
Baseline corrections:
i: 0| 10 6 9 9 7 7 7 6 8 8 11 7 11 5 9 6 7 6 11 11 9 7 8 10 8 8 10 8 10 9 8 7 7 7 10 8 6 11 9 7 5 9 7 8 10 9 9 7 6 9 6 9 11 7 8 10 10 8 11 9 7 9 7 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
i: 1| 10 6 9 10 7 7 7 6 8 8 10 7 11 5 9 6 7 6 11 11 9 7 8 10 8 8 10 8 10 8 8 7 8 6 10 8 6 10 8 8 5 8 9 9 10 9 9 6 7 9 6 9 11 8 9 9 10 8 10 9 8 10 9 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
i: 2| 10 6 9 9 7 7 7 6 8 8 10 7 11 5 9 6 7 6 11 11 9 8 8 10 8 8 10 8 10 8 9 7 8 6 9 8 6 10 7 7 5 9 6 8 11 9 9 6 6 8 6 9 11 7 8 9 10 8 11 9 8 10 6 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
i: 3| 10 6 9 10 7 7 7 7 8 8 11 8 11 5 9 6 7 6 11 11 9 8 8 11 9 8 10 8 9 9 8 7 8 7 10 9 6 10 8 8 5 9 9 9 10 9 9 7 6 9 7 9 11 8 8 9 10 8 10 9 8 10 9 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
i: 4| 11 6 8 10 6 7 7 6 9 8 11 7 11 5 8 6 7 6 10 11 8 7 9 11 9 8 10 9 8 9 8 7 8 6 10 8 7 11 7 8 4 9 8 9 10 9 9 6 7 8 7 9 10 7 9 9 10 8 11 9 9 9 8 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
i: 5| 8 6 8 9 8 7 6 6 9 8 11 7 11 5 8 6 6 6 11 11 8 8 9 10 8 8 10 8 10 9 7 7 8 7 10 8 7 11 7 7 4 9 8 9 11 9 9 7 6 9 7 9 10 8 8 9 11 8 10 9 7 10 8 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
i: 6| 10 6 9 9 7 7 7 6 8 8 10 7 11 5 9 6 8 6 11 11 9 8 8 11 9 8 11 9 10 9 6 7 8 7 11 9 6 11 6 8 5 9 8 9 11 9 9 6 7 8 6 9 11 8 8 9 10 8 10 9 8 9 9 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
i: 7| 11 6 9 10 6 7 7 6 9 8 11 7 11 5 9 6 7 6 11 11 8 7 9 11 9 8 10 8 8 9 8 7 8 7 10 9 7 11 7 8 4 9 8 8 11 9 8 7 7 9 7 9 10 7 8 9 11 8 11 9 7 10 8 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
i: 8| 11 6 9 10 6 7 7 6 9 8 11 7 11 4 8 6 7 6 11 11 8 8 9 11 9 8 10 8 8 9 8 7 8 6 10 9 7 11 7 8 5 9 7 8 10 9 8 7 7 8 7 9 10 8 9 9 10 8 10 9 9 10 8 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
i: 9| 11 6 8 10 6 7 7 6 9 8 11 7 11 4 8 6 7 6 11 11 8 8 9 11 9 8 10 9 8 9 8 6 8 7 10 9 7 11 8 8 4 9 8 9 11 9 8 6 7 9 7 9 10 8 9 9 10 8 10 9 9 10 8 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
